,module name,input shape,output_shape,parameters,infer memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration
63,layer2.1.bn2,"torch.Size([1, 1024, 28, 28])","torch.Size([1, 1024, 28, 28])","2,048",3.0625,"3,211,264","1,605,632","3,219,456","3,211,264",0.0011472702026367188
64,layer2.1.conv3,"torch.Size([1, 1024, 28, 28])","torch.Size([1, 512, 28, 28])","524,288",1.53125,"821,682,176","411,041,792","5,308,416","1,605,632",0.001142740249633789
65,layer2.1.bn3,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])","1,024",1.53125,"1,605,632","802,816","1,609,728","1,605,632",0.0001990795135498047
66,layer2.1.relu,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])",0,1.53125,"401,408","401,408","1,605,632","1,605,632",1.6689300537109375e-05
67,layer2.1.se.avg_pool,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 1, 1])",0,0.001953125,0,"430,592",0,0,9.298324584960938e-05
68,layer2.1.se.fc.0,"torch.Size([1, 512])","torch.Size([1, 32])","16,384",0.0001220703125,"32,736","16,384","67,584",128,5.459785461425781e-05
69,layer2.1.se.fc.1,"torch.Size([1, 32])","torch.Size([1, 32])",0,0.0001220703125,32,32,128,128,1.0728836059570312e-05
70,layer2.1.se.fc.2,"torch.Size([1, 32])","torch.Size([1, 512])","16,384",0.001953125,"32,256","16,384","65,664","2,048",3.0040740966796875e-05
71,layer2.1.se.fc.3,"torch.Size([1, 512])","torch.Size([1, 512])",0,0.001953125,0,0,0,0,1.5974044799804688e-05
72,layer2.2.conv1,"torch.Size([1, 512, 28, 28])","torch.Size([1, 1024, 28, 28])","524,288",3.0625,"821,280,768","411,041,792","3,702,784","3,211,264",0.0010783672332763672
73,layer2.2.bn1,"torch.Size([1, 1024, 28, 28])","torch.Size([1, 1024, 28, 28])","2,048",3.0625,"3,211,264","1,605,632","3,219,456","3,211,264",0.001140594482421875
74,layer2.2.conv2,"torch.Size([1, 1024, 28, 28])","torch.Size([1, 1024, 28, 28])","147,456",3.0625,"230,408,192","115,605,504","3,801,088","3,211,264",0.0008752346038818359
75,layer2.2.bn2,"torch.Size([1, 1024, 28, 28])","torch.Size([1, 1024, 28, 28])","2,048",3.0625,"3,211,264","1,605,632","3,219,456","3,211,264",0.0011477470397949219
76,layer2.2.conv3,"torch.Size([1, 1024, 28, 28])","torch.Size([1, 512, 28, 28])","524,288",1.53125,"821,682,176","411,041,792","5,308,416","1,605,632",0.001123666763305664
77,layer2.2.bn3,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])","1,024",1.53125,"1,605,632","802,816","1,609,728","1,605,632",0.00019931793212890625
78,layer2.2.relu,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 28, 28])",0,1.53125,"401,408","401,408","1,605,632","1,605,632",2.6941299438476562e-05
79,layer2.2.se.avg_pool,"torch.Size([1, 512, 28, 28])","torch.Size([1, 512, 1, 1])",0,0.001953125,0,"430,592",0,0,9.107589721679688e-05
80,layer2.2.se.fc.0,"torch.Size([1, 512])","torch.Size([1, 32])","16,384",0.0001220703125,"32,736","16,384","67,584",128,5.7697296142578125e-05
81,layer2.2.se.fc.1,"torch.Size([1, 32])","torch.Size([1, 32])",0,0.0001220703125,32,32,128,128,1.0013580322265625e-05
82,layer2.2.se.fc.2,"torch.Size([1, 32])","torch.Size([1, 512])","16,384",0.001953125,"32,256","16,384","65,664","2,048",3.0279159545898438e-05
